"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3"
"Sub001_ToD_Online","YA","Morning","23/10/24",92.7857142857143,72.5714285714286,133.25,86,3.21428571428571,-4,62.75,-59.3333333333333
"Sub002_ToD_Online","YA","Morning","23/10/24",73.0882352941177,62.9375,70.2727272727273,100.714285714286,0.735294117647059,-12.6875,43.9090909090909,-36.4285714285714
"Sub003_ToD_Online","OA","Night","23/10/24",29.4259259259259,44.6428571428571,33.6,14.6,-2.12962962962963,-1.5,0.9,-5.6
"Sub004_ToD_Online","OA","Night","23/10/24",42.2857142857143,43,54.4285714285714,31.125,-5.42857142857143,7.83333333333333,6.28571428571429,-25.625
"Sub005_ToD_Online","OA","Morning","24/10/24",15.1052631578947,16.2777777777778,16.7894736842105,12.45,-8.26315789473684,-9.38888888888889,-12.2631578947368,-3.45
"Sub006_ToD_Online","OA","Morning","24/10/24",46.7586206896552,37.5,46,52.6363636363636,-12.8275862068966,-12.5,-11.6666666666667,-14.2727272727273
"Sub007_ToD_Online","OA","Morning","24/10/24",68.0833333333333,51.2777777777778,81.1176470588235,74.3076923076923,-14.0416666666667,-22.1666666666667,-27.5882352941176,14.9230769230769
"Sub008_ToD_Online","YA","Night","23/10/24",46.6363636363636,37.2307692307692,51,50.2777777777778,-0.227272727272727,5.07692307692308,3,-6.38888888888889
"Sub009_ToD_Online","YA","Night","23/10/24",34.9722222222222,28.2666666666667,39.3846153846154,40.375,0.861111111111111,2.66666666666667,11.2307692307692,-19.375
"Sub010_ToD_Online","YA","Morning","24/10/24",32.8,34.3888888888889,28.8947368421053,35.3333333333333,-0.545454545454545,-7.5,3.94736842105263,1.66666666666667
"Sub011_ToD_Online","YA","Morning","24/10/24",60.3478260869565,56.6,72.2941176470588,49.8571428571429,-16.2608695652174,-36.4666666666667,24.4117647058824,-44
"Sub012_ToD_Online","YA","Night","24/10/24",20.3620689655172,8.25,24.1,29.6666666666667,7.18965517241379,-2.75,4.1,21.6666666666667
"Sub013_ToD_Online","YA","Night","24/10/24",56.9795918367347,46.25,61.7647058823529,62.625,-6.04081632653061,-10.875,18.8235294117647,-27.625
"Sub014_ToD_Online","YA","Night","24/10/24",27.22,23.8947368421053,24.7058823529412,34.7857142857143,-6.66,2.84210526315789,-8.11764705882353,-17.7857142857143
"Sub015_ToD_Online","YA","Night","24/10/24",64,68.8571428571429,78.5882352941177,39.6923076923077,3.77272727272727,-23.5714285714286,17.5294117647059,15.2307692307692
"Sub016_ToD_Online","OA","Night","24/10/24",51.02,35.125,49.8125,66.2222222222222,-2.42,11,-17.5625,-0.888888888888889
"Sub017_ToD_Online","OA","Night","24/10/24",18.7241379310345,18.9444444444444,21.95,15.3,4.20689655172414,2.94444444444444,9.35,0.2
"Sub018_ToD_Online","OA","Night","24/10/24",59,74.5,44.3,63.5,-15.0714285714286,-71.5,-2.9,3
"Sub019_ToD_Online","OA","Night","24/10/24",32.2553191489362,29.0588235294118,46.5833333333333,25.7222222222222,4.59574468085106,8.70588235294118,4.41666666666667,0.833333333333333
"Sub020_ToD_Online","YA","Morning","25/10/24",27.2631578947368,22.7,31.4444444444444,28.1052631578947,9.12280701754386,-0.5,12.7777777777778,15.7894736842105
"Sub021_ToD_Online","YA","Morning","25/10/24",31.1228070175439,51.3888888888889,33.6,9.31578947368421,-3.2280701754386,-5.27777777777778,-7.2,2.89473684210526
"Sub022_ToD_Online","YA","Morning","25/10/24",37.5,21.3333333333333,66.2,32.5555555555556,-0.852941176470588,-1.46666666666667,0.2,-1
"Sub023_ToD_Online","YA","Morning","25/10/24",35.1463414634146,13.7692307692308,44.2307692307692,45.8,1.63414634146341,-2.07692307692308,-10.3846153846154,15.2666666666667
"Sub024_ToD_Online","YA","Night","25/10/24",20.5,29.1,13.8333333333333,16.7857142857143,3.15384615384615,22.4,-4.61111111111111,-14.3571428571429
"Sub025_ToD_Online","YA","Night","25/10/24",13.3728813559322,13.5263157894737,13.7,12.9,1.91525423728814,2.68421052631579,3.1,0
"Sub026_ToD_Online","YA","Night","25/10/24",72.6060606060606,86.3636363636364,61.4615384615385,71.8888888888889,2.48484848484848,7.27272727272727,14.3846153846154,-20.5555555555556
"Sub027_ToD_Online","YA","Morning","26/10/24",15.4565217391304,19,9.625,17.9166666666667,-3.41304347826087,1.33333333333333,-1.875,-12.5833333333333
"Sub028_ToD_Online","YA","Morning","26/10/34",67.5277777777778,54.9090909090909,57.5384615384615,89.9166666666667,-4.63888888888889,-33.6363636363636,33.0769230769231,-18.9166666666667
"Sub029_ToD_Online","YA","Morning","26/10/24",38.6279069767442,50.4705882352941,27.5,36.3,-5.37209302325581,-9.64705882352941,-4.25,0.1
"Sub030_ToD_Online","YA","Morning","27/10/24",101.969696969697,96,107.583333333333,101.272727272727,-3.42424242424242,-26.6,0.916666666666667,12.9090909090909
