"sub_id","AgeGroup","ToD_Condition","Date","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub001_ToD_Online","YA","Morning","23/10/24","Overall",92.7857142857143,3.21428571428571,FALSE
"Sub001_ToD_Online","YA","Morning","23/10/24","1",72.5714285714286,-4,FALSE
"Sub001_ToD_Online","YA","Morning","23/10/24","2",133.25,62.75,TRUE
"Sub001_ToD_Online","YA","Morning","23/10/24","3",86,-59.3333333333333,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","Overall",73.0882352941177,0.735294117647059,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","1",62.9375,-12.6875,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","2",70.2727272727273,43.9090909090909,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","3",100.714285714286,-36.4285714285714,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","Overall",29.4259259259259,-2.12962962962963,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","1",44.6428571428571,-1.5,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","2",33.6,0.9,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","3",14.6,-5.6,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","Overall",42.2857142857143,-5.42857142857143,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","1",43,7.83333333333333,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","2",54.4285714285714,6.28571428571429,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","3",31.125,-25.625,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","Overall",15.1052631578947,-8.26315789473684,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","1",16.2777777777778,-9.38888888888889,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","2",16.7894736842105,-12.2631578947368,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","3",12.45,-3.45,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","Overall",46.7586206896552,-12.8275862068966,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","1",37.5,-12.5,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","2",46,-11.6666666666667,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","3",52.6363636363636,-14.2727272727273,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","Overall",68.0833333333333,-14.0416666666667,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","1",51.2777777777778,-22.1666666666667,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","2",81.1176470588235,-27.5882352941176,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","3",74.3076923076923,14.9230769230769,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","Overall",46.6363636363636,-0.227272727272727,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","1",37.2307692307692,5.07692307692308,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","2",51,3,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","3",50.2777777777778,-6.38888888888889,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","Overall",34.9722222222222,0.861111111111111,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","1",28.2666666666667,2.66666666666667,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","2",39.3846153846154,11.2307692307692,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","3",40.375,-19.375,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","Overall",32.8,-0.545454545454545,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","1",34.3888888888889,-7.5,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","2",28.8947368421053,3.94736842105263,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","3",35.3333333333333,1.66666666666667,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","Overall",60.3478260869565,-16.2608695652174,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","1",56.6,-36.4666666666667,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","2",72.2941176470588,24.4117647058824,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","3",49.8571428571429,-44,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","Overall",20.3620689655172,7.18965517241379,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","1",8.25,-2.75,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","2",24.1,4.1,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","3",29.6666666666667,21.6666666666667,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","Overall",56.9795918367347,-6.04081632653061,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","1",46.25,-10.875,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","2",61.7647058823529,18.8235294117647,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","3",62.625,-27.625,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","Overall",27.22,-6.66,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","1",23.8947368421053,2.84210526315789,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","2",24.7058823529412,-8.11764705882353,FALSE
