"AgeGroup","ToD_Condition","Date","sub_id","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","SubID","CorrectRecallOld_block1","CorrectRecallOld_block2","CorrectRecallOld_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_block1","ForgetRecallOld_block2","ForgetRecallOld_block3","ForgetRecallOld_blockOverall","CorrectRecallNew_block1","CorrectRecallNew_block2","CorrectRecallNew_block3","CorrectRecallNew_blockOverall","NewRecallOld_block1","NewRecallOld_block2","NewRecallOld_block3","NewRecallOld_blockOverall"
"OA","Morning","24/10/24","Sub005_ToD_Online",15.1052631578947,16.2777777777778,16.7894736842105,12.45,-8.26315789473684,-9.38888888888889,-12.2631578947368,-3.45,7.33333333333333,6.75,7.5,7.75,-1.3,-1.65,-1.4,-0.85,"Sub005_ToD_Online",18,19,20,57,2,1,0,3,6,9,7,22,1,0,0,1
"OA","Morning","24/10/24","Sub005_ToD_Online",15.1052631578947,16.2777777777778,16.7894736842105,12.45,-8.26315789473684,-9.38888888888889,-12.2631578947368,-3.45,7.33333333333333,6.75,7.5,7.75,-1.3,-1.65,-1.4,-0.85,"Sub006_ToD_Online",6,12,11,29,12,8,9,29,6,9,7,22,1,0,0,1
"OA","Morning","24/10/24","Sub005_ToD_Online",15.1052631578947,16.2777777777778,16.7894736842105,12.45,-8.26315789473684,-9.38888888888889,-12.2631578947368,-3.45,7.33333333333333,6.75,7.5,7.75,-1.3,-1.65,-1.4,-0.85,"Sub007_ToD_Online",18,17,13,48,2,3,7,12,7,9,6,22,0,0,1,1
"OA","Morning","24/10/24","Sub006_ToD_Online",46.7586206896552,37.5,46,52.6363636363636,-12.8275862068966,-12.5,-11.6666666666667,-14.2727272727273,8.06666666666667,7.55,9.35,7.3,-0.9,3.45,-3.85,-2.3,"Sub005_ToD_Online",18,19,20,57,2,1,0,3,6,9,7,22,1,0,0,1
"OA","Morning","24/10/24","Sub006_ToD_Online",46.7586206896552,37.5,46,52.6363636363636,-12.8275862068966,-12.5,-11.6666666666667,-14.2727272727273,8.06666666666667,7.55,9.35,7.3,-0.9,3.45,-3.85,-2.3,"Sub006_ToD_Online",6,12,11,29,12,8,9,29,6,9,7,22,1,0,0,1
"OA","Morning","24/10/24","Sub006_ToD_Online",46.7586206896552,37.5,46,52.6363636363636,-12.8275862068966,-12.5,-11.6666666666667,-14.2727272727273,8.06666666666667,7.55,9.35,7.3,-0.9,3.45,-3.85,-2.3,"Sub007_ToD_Online",18,17,13,48,2,3,7,12,7,9,6,22,0,0,1,1
"OA","Morning","24/10/24","Sub007_ToD_Online",68.0833333333333,51.2777777777778,81.1176470588235,74.3076923076923,-14.0416666666667,-22.1666666666667,-27.5882352941176,14.9230769230769,38.4666666666667,7.65,43.8,63.95,7.1,1.55,16.6,3.15,"Sub005_ToD_Online",18,19,20,57,2,1,0,3,6,9,7,22,1,0,0,1
"OA","Morning","24/10/24","Sub007_ToD_Online",68.0833333333333,51.2777777777778,81.1176470588235,74.3076923076923,-14.0416666666667,-22.1666666666667,-27.5882352941176,14.9230769230769,38.4666666666667,7.65,43.8,63.95,7.1,1.55,16.6,3.15,"Sub006_ToD_Online",6,12,11,29,12,8,9,29,6,9,7,22,1,0,0,1
"OA","Morning","24/10/24","Sub007_ToD_Online",68.0833333333333,51.2777777777778,81.1176470588235,74.3076923076923,-14.0416666666667,-22.1666666666667,-27.5882352941176,14.9230769230769,38.4666666666667,7.65,43.8,63.95,7.1,1.55,16.6,3.15,"Sub007_ToD_Online",18,17,13,48,2,3,7,12,7,9,6,22,0,0,1,1
"OA","Morning","25/10/24","Sub041_ToD_Online",52.5,77.4545454545455,36.1875,51.2727272727273,-9.13157894736842,5.27272727272727,5.4375,-44.7272727272727,12,15.75,11.35,8.9,4.7,9.45,3.05,1.6,"Sub041_ToD_Online",11,16,11,38,9,4,9,22,8,8,6,22,0,1,1,2
