obj1,locresp1,locresp1_adj,respposX1,respposY1,Learning_Loc_Test_rt,condnum,respposX2,respposY2,backgr,obj1loc,TrialID,StudyTrialNum,block,testObj1,testObj1Feat1,TestPracTrialNum,testObj1Feat1TargetVal,testObj1LocStartVal1,testObj1LocStartVal2,testObj1LocStartVal3,testObj1LocTargetVal,testObj1Target,testObj1Foil,testObj1FCOrder,testObj1FCleftItem,testObj1FCrightItem,OldImages,locresp2,locresp2_adj,Recall_Loc_Test_rt,Old_New_Test,Old_New_Test_rt,Remember_Test,Remember_Test_rt,Imm_Delay,SubID,AgeGroup,ToD_Condition
abacus1_tr.png,-49,311,-0.171208072,0.148828906,4.8631,81,-0.17876254,0.139664603,Bckg135.jpg,299,41,59,2,1,1,46,299,113,108,23,299,abacus1_tr.png,NA,1,Foil,Target,1,-52,308,10.9041,1,5.0681,1,1.4465,1,Sub046_ToD_Online,OA,Night
bagel1_tr.png,245,245,-0.205598568,-0.095872187,2.8034,81,-0.196460392,-0.11342646,Bckg43.jpg,246,20,73,2,1,1,58,246,243,284,250,246,bagel1_tr.png,NA,0,Target,Foil,1,240,240,4.4518,1,2.9005,1,1.8672,1,Sub046_ToD_Online,OA,Night
bandaid1_tr.png,225,225,-0.160409238,-0.160409238,2.9401,81,[],[],Bckg45.jpg,246,107,85,3,1,1,89,246,143,243,11,246,bandaid1_tr.png,NA,1,Foil,Target,1,243,243,11.2514,1,2.5079,2,1.7167,1,Sub046_ToD_Online,OA,Night
bathingsuit1_tr.png,289,289,-0.21449365,0.073856086,2.7538,81,0.226818369,-0.003959129,Bckg19.jpg,288,65,44,2,1,1,73,288,311,51,176,288,bathingsuit1_tr.png,NA,0,Target,Foil,1,91,91,4.4518,1,3.8191,1,1.3016,1,Sub046_ToD_Online,OA,Night
bbqmachine1_tr.png,525,165,0.058713856,-0.219123094,5.0191,81,0.062529139,-0.218065023,Bckg48.jpg,172,40,41,2,1,1,61,172,331,332,338,172,bbqmachine1_tr.png,NA,0,Target,Foil,1,524,164,6.5506,1,2.3187,1,1.3045,1,Sub046_ToD_Online,OA,Night
bowlingpin1_tr.png,295,295,-0.205598568,0.095872187,3.8182,81,-0.027646416,-0.225161993,Bckg34.jpg,301,48,102,3,1,1,118,301,219,51,324,301,bowlingpin1_tr.png,NA,1,Foil,Target,1,187,187,10.3342,1,3.252,2,1.3344,1,Sub046_ToD_Online,OA,Night
bowls1_tr.png,430,70,0.213172015,0.077588268,5.9856,81,-0.226542026,-0.011872564,Bckg103.jpg,76,79,68,2,1,1,76,76,238,207,139,76,bowls1_tr.png,NA,0,Target,Foil,1,267,267,7.0684,1,2.8839,2,1.603,1,Sub046_ToD_Online,OA,Night
boxinggloves1_tr.png,279,279,-0.224059984,0.035487615,6.4688,81,[],[],Bckg131.jpg,276,95,23,1,1,1,9,276,159,125,149,276,boxinggloves1_tr.png,NA,0,Target,Foil,1,125,125,5.5411,1,2.4017,2,2.2676,1,Sub046_ToD_Online,OA,Night
christmasstocking1_tr.png,520,160,0.077588268,-0.213172015,4.5155,81,0.106500995,-0.20029924,Bckg136.jpg,165,50,101,3,1,1,96,165,322,246,121,165,christmasstocking1_tr.png,NA,1,Foil,Target,1,512,152,8.8512,1,3.2568,1,1.2269,1,Sub046_ToD_Online,OA,Night
coat1_tr.png,449,89,0.226818369,0.003959129,5.3679,81,0.226542026,-0.011872564,Bckg108.jpg,94,102,75,2,1,1,79,94,309,13,198,94,coat1_tr.png,NA,0,Target,Foil,1,93,93,4.9147,1,2.1156,1,0.7216,1,Sub046_ToD_Online,OA,Night
