"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt"
"Sub001_ToD_Online","YA","Morning",1,"airfreshener1_tr.png",156,156,NA,NA,0.5373,249,NA,NA,"Bckg42.jpg",2,91,25,1,1,1,24,2,156,345,88,2,"airfreshener1_tr.png",1,345,345,1.2784,1,0.3739,1,0.2141
"Sub001_ToD_Online","YA","Morning",1,"dog1_tr.png",16,16,NA,NA,1.7527,249,NA,NA,"Bckg23.jpg",167,111,45,2,1,1,76,167,16,26,214,167,"dog1_tr.png",1,26,26,1.0328,1,0.7737,2,0.3117
"Sub001_ToD_Online","YA","Morning",1,"fireextinguisher1_tr.png",212,212,NA,NA,0.0862,249,NA,NA,"Bckg88.jpg",294,85,77,2,1,1,63,294,212,94,215,294,"fireextinguisher1_tr.png",1,94,94,0.3865,1,0.8179,1,0.458
"Sub001_ToD_Online","YA","Morning",1,"goggle1_tr.png",157,157,NA,NA,12.1526,249,NA,NA,"Bckg120.jpg",25,96,110,3,1,1,115,25,157,292,131,25,"goggle1_tr.png",1,292,292,1.4599,1,0.404,2,0.4759
"Sub001_ToD_Online","YA","Morning",1,"hairdryer1_tr.png",52,52,NA,NA,0.1534,249,NA,NA,"Bckg79.jpg",63,73,23,1,1,1,18,63,52,27,90,63,"hairdryer1_tr.png",1,27,27,0.8513,1,0.3939,1,0.9557
"Sub001_ToD_Online","YA","Morning",1,"hotdog1_tr.png",327,327,NA,NA,1.4735,249,NA,NA,"Bckg126.jpg",152,42,46,2,1,1,54,152,327,275,320,152,"hotdog1_tr.png",1,275,275,1.8465,1,0.0489,1,1.0007
"Sub001_ToD_Online","YA","Morning",1,"jellybeans1_tr.png",347,347,NA,NA,0.0335,249,NA,NA,"Bckg46.jpg",235,49,83,3,1,1,86,235,347,110,157,235,"jellybeans1_tr.png",1,110,110,3.6682,1,0.4226,2,0.4335
"Sub001_ToD_Online","YA","Morning",1,"kite1_tr.png",59,59,NA,NA,17.1421,249,NA,NA,"Bckg128.jpg",181,115,106,3,1,1,118,181,59,221,177,181,"kite1_tr.png",1,221,221,0.9657,1,0.0835,2,0.8333
"Sub001_ToD_Online","YA","Morning",1,"present1_tr.png",45,45,NA,NA,0.4326,249,NA,NA,"Bckg121.jpg",184,46,3,1,1,1,14,184,45,118,188,184,"present1_tr.png",1,118,118,4.7591,1,0.9351,2,0.9822
"Sub001_ToD_Online","YA","Morning",1,"rollingpin1_tr.png",12,12,NA,NA,0.0399,249,NA,NA,"Bckg69.jpg",228,89,40,1,1,1,4,228,12,120,126,228,"rollingpin1_tr.png",1,120,120,2.0387,1,1.2248,1,0.0572
"Sub001_ToD_Online","YA","Morning",1,"rubikscube1_tr.png",4,4,NA,NA,0.0487,249,NA,NA,"Bckg122.jpg",113,105,70,2,1,1,51,113,4,222,200,113,"rubikscube1_tr.png",1,222,222,0.642,1,8e-04,2,1.1749
"Sub001_ToD_Online","YA","Morning",1,"sink1_tr.png",267,267,NA,NA,7.5902,249,NA,NA,"Bckg32.jpg",178,112,7,1,1,1,8,178,267,137,336,178,"sink1_tr.png",1,137,137,3.401,1,0.4646,2,0.319
"Sub001_ToD_Online","YA","Morning",1,"soccerball1_tr.png",86,86,NA,NA,0.2556,249,NA,NA,"Bckg101.jpg",43,53,13,1,1,1,27,43,86,145,39,43,"soccerball1_tr.png",1,145,145,2.0933,1,6.8732,2,0.5922
"Sub001_ToD_Online","YA","Morning",1,"trumpet1_tr.png",313,313,NA,NA,0.9482,249,NA,NA,"Bckg130.jpg",355,58,9,1,1,1,5,355,313,133,32,355,"trumpet1_tr.png",1,133,133,0.6619,1,1.0175,2,0.4473
