block,CorrectRecallOld,ForgetRecallOld,CorrectRecallNew,NewRecallOld,SubID,AgeGroup,ToD_Condition,Date
1,16,4,8,0,Sub046_ToD_Online,OA,Night,25/10/24
2,17,3,8,0,Sub046_ToD_Online,OA,Night,25/10/24
3,15,5,8,0,Sub046_ToD_Online,OA,Night,25/10/24
Overall,48,12,24,0,Sub046_ToD_Online,OA,Night,25/10/24
1,19,1,8,0,Sub051_ToD_Online,OA,Morning,26/10/24
2,17,3,8,0,Sub051_ToD_Online,OA,Morning,26/10/24
3,17,3,8,0,Sub051_ToD_Online,OA,Morning,26/10/24
Overall,53,7,24,0,Sub051_ToD_Online,OA,Morning,26/10/24
1,10,10,8,0,Sub090_ToD_Online,OA,Morning,6/12/2024
2,6,14,8,0,Sub090_ToD_Online,OA,Morning,6/12/2024
3,8,12,8,0,Sub090_ToD_Online,OA,Morning,6/12/2024
Overall,24,36,24,0,Sub090_ToD_Online,OA,Morning,6/12/2024
1,16,4,8,0,Sub040_ToD_Online,OA,Morning,25/10/24
2,9,11,7,1,Sub040_ToD_Online,OA,Morning,25/10/24
3,12,8,5,3,Sub040_ToD_Online,OA,Morning,25/10/24
Overall,37,23,20,4,Sub040_ToD_Online,OA,Morning,25/10/24
1,13,7,8,0,Sub023_ToD_Online,YA,Morning,25/10/24
2,13,7,7,2,Sub023_ToD_Online,YA,Morning,25/10/24
3,15,5,7,0,Sub023_ToD_Online,YA,Morning,25/10/24
Overall,41,19,22,2,Sub023_ToD_Online,YA,Morning,25/10/24
1,14,6,8,0,Sub049_ToD_Online,OA,Morning,26/10/24
2,13,7,8,0,Sub049_ToD_Online,OA,Morning,26/10/24
3,16,4,8,0,Sub049_ToD_Online,OA,Morning,26/10/24
Overall,43,17,24,0,Sub049_ToD_Online,OA,Morning,26/10/24
1,18,2,6,1,Sub005_ToD_Online,OA,Morning,24/10/24
2,19,1,9,0,Sub005_ToD_Online,OA,Morning,24/10/24
3,20,0,7,0,Sub005_ToD_Online,OA,Morning,24/10/24
Overall,57,3,22,1,Sub005_ToD_Online,OA,Morning,24/10/24
1,12,8,6,0,Sub071_ToD_Online,OA,Night,28/10/24
2,18,2,7,1,Sub071_ToD_Online,OA,Night,28/10/24
3,13,7,7,1,Sub071_ToD_Online,OA,Night,28/10/24
Overall,43,17,20,2,Sub071_ToD_Online,OA,Night,28/10/24
1,15,5,7,1,Sub047_ToD_Online,OA,Night,25/10/24
2,14,6,9,0,Sub047_ToD_Online,OA,Night,25/10/24
3,12,8,7,0,Sub047_ToD_Online,OA,Night,25/10/24
Overall,41,19,23,1,Sub047_ToD_Online,OA,Night,25/10/24
1,16,4,8,0,Sub064_ToD_Online,YA,Night,28/10/24
2,15,5,9,0,Sub064_ToD_Online,YA,Night,28/10/24
3,13,7,7,0,Sub064_ToD_Online,YA,Night,28/10/24
Overall,44,16,24,0,Sub064_ToD_Online,YA,Night,28/10/24
1,18,2,7,1,Sub067_ToD_Online,OA,Night,28/10/24
2,11,9,8,0,Sub067_ToD_Online,OA,Night,28/10/24
3,11,9,7,1,Sub067_ToD_Online,OA,Night,28/10/24
Overall,40,20,22,2,Sub067_ToD_Online,OA,Night,28/10/24
1,19,1,8,0,Sub072_ToD_Online,OA,Night,28/10/24
2,18,2,9,0,Sub072_ToD_Online,OA,Night,28/10/24
3,19,1,7,0,Sub072_ToD_Online,OA,Night,28/10/24
Overall,56,4,24,0,Sub072_ToD_Online,OA,Night,28/10/24
