"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3"
"Sub001_ToD","YA","Night","Julia",FALSE,5.87234042553191,6,5.0625,6.6,-0.936170212765957,-3.125,1.5625,-1.26666666666667
"Sub002_ToD","OA","Night","Julia",TRUE,83.2142857142857,90.6111111111111,65.95,95,1.21428571428571,19.1666666666667,-10.85,-3.33333333333333
"Sub003_ToD","YA","Night","Julia",FALSE,9.45614035087719,5.78947368421053,14.6842105263158,7.89473684210526,2.85964912280702,0.736842105263158,8.57894736842105,-0.736842105263158
"Sub005_ToD","OA","Morning","Julia",FALSE,7.47169811320755,6.58823529411765,9.38888888888889,6.38888888888889,1.84905660377358,1.52941176470588,3.94444444444444,0.0555555555555556
"Sub006_ToD","YA","Night","Julia",FALSE,5.45454545454545,5.13333333333333,6.6,4.57142857142857,0.909090909090909,1.26666666666667,1,0.428571428571429
"Sub007_ToD","OA","Night","Julia",FALSE,12.3333333333333,16.35,11,9.65,-1.36666666666667,-3.35,-3.1,2.35
"Sub008_ToD","OA","Morning","Julia",FALSE,9.92982456140351,10.2222222222222,8.4,11.2631578947368,-1.75438596491228,2.88888888888889,-4.1,-3.68421052631579
"Sub009_ToD","YA","Night","Julia",FALSE,7.89285714285714,12,8.75,3.1,-5.46428571428571,-9.2,-6.75,-0.7
"Sub010_ToD","OA","Morning","Julia",FALSE,8.11320754716981,6,11.8947368421053,6,1.24528301886792,1.57142857142857,1.36842105263158,0.9
"Sub011_ToD","OA","Morning","Julia",FALSE,7.07547169811321,4.64705882352941,9.22222222222222,7.22222222222222,-0.0943396226415094,-1.23529411764706,1.88888888888889,-1
"Sub012_ToD","OA","Night","Julia",FALSE,5.8,6.88888888888889,3.73684210526316,6.88888888888889,-0.854545454545454,-0.444444444444444,0.263157894736842,-2.44444444444444
"Sub013_ToD","YA","Morning","Julia",FALSE,3.12068965517241,3.3,3.3,2.72222222222222,0.155172413793103,1.2,1,-1.94444444444444
"Sub014_ToD","YA","Morning","Julia",FALSE,5.74,4.875,6.76470588235294,5.52941176470588,-0.98,0.375,-1.35294117647059,-1.88235294117647
"Sub015_ToD","OA","Night","Julia",FALSE,7.33333333333333,9.14285714285714,6.42857142857143,6.58823529411765,0.177777777777778,-0.714285714285714,1.71428571428571,-0.352941176470588
"Sub016_ToD","YA","Night","Julia",FALSE,4.52830188679245,5.55555555555556,3.4375,4.47368421052632,-0.113207547169811,-0.888888888888889,-0.9375,1.31578947368421
"Sub017_ToD","OA","Morning","Julia",FALSE,7.77777777777778,8,7.11764705882353,8.1578947368421,-1.40740740740741,-1.33333333333333,-0.176470588235294,-2.57894736842105
"Sub018_ToD","OA","Night","Julia",FALSE,7.4375,6.625,9.25,6.4375,-1.3125,-3.5,1.25,-1.6875
"Sub019_ToD","YA","Morning","Julia",FALSE,7.10714285714286,6.1875,7.9,7.05,0.571428571428571,-1.5625,1.3,1.55
"Sub020_ToD","OA","Morning","Julia",FALSE,6.98039215686275,7.05555555555556,7.1875,6.70588235294118,-0.392156862745098,-2.94444444444444,-1.0625,2.94117647058824
"Sub021_ToD","YA","Night","Julia",FALSE,6.7719298245614,6.31578947368421,5.61111111111111,8.25,-2.7719298245614,-3.68421052631579,-0.611111111111111,-3.85
"Sub022_ToD","YA","Night","Julia",FALSE,4.74509803921569,5,3.35294117647059,5.9375,0,-0.555555555555556,1.35294117647059,-0.8125
"Sub023_ToD","YA","Night","Julia",FALSE,5.86666666666667,5.8,6.1875,5.57142857142857,-1.06666666666667,-2.6,-1.0625,0.571428571428571
"Sub024_ToD","YA","Night","Julia",FALSE,5.88636363636364,3.53333333333333,6.0625,8.38461538461539,0.431818181818182,1.53333333333333,2.6875,-3.61538461538462
"Sub025_ToD","OA","Morning","Julia",FALSE,4.02083333333333,3.23076923076923,4.64705882352941,4,-1.60416666666667,-1.07692307692308,-2.05882352941176,-1.55555555555556
"Sub026_ToD","YA","Morning","Julia",FALSE,6.2037037037037,6.27777777777778,4.78947368421053,7.70588235294118,-1.2037037037037,0.277777777777778,-2.36842105263158,-1.47058823529412
"Sub027_ToD","OA","Night","Julia",FALSE,6.33928571428571,7.52631578947368,5.6,5.88235294117647,-2.48214285714286,-3.21052631578947,-1.7,-2.58823529411765
"Sub028_ToD","OA","Night","Julia",FALSE,13.1964285714286,14.2777777777778,14.8888888888889,10.7,-2.98214285714286,-3.27777777777778,-3.77777777777778,-2
"Sub029_ToD","OA","Night","Julia",FALSE,5.2962962962963,4.375,6.36842105263158,5,-1.2962962962963,0.625,-1.73684210526316,-2.47368421052632
"Sub030_ToD","OA","Night","Julia",FALSE,12.8421052631579,10.9444444444444,13.3157894736842,14.1,1.50877192982456,5.27777777777778,-1.94736842105263,1.4
"Sub031_ToD","OA","Night","Julia",FALSE,5.60714285714286,6.58823529411765,5.55,4.78947368421053,0.571428571428571,0.941176470588235,-0.25,1.10526315789474
"Sub032_ToD","YA","Morning","Julia",FALSE,5.53191489361702,8.88235294117647,4.2,3.06666666666667,0.51063829787234,3.23529411764706,-1,-1.06666666666667
"Sub033_ToD","YA","Morning","Julia",FALSE,11.0350877192982,10.4736842105263,12.5263157894737,10.1052631578947,-1.87719298245614,0.789473684210526,-5.05263157894737,-1.36842105263158
"Sub034_ToD","YA","Morning","Julia",FALSE,6.89473684210526,5.83333333333333,6.07692307692308,8.69230769230769,0.0526315789473684,0.166666666666667,1,-1
"Sub035_ToD","YA","Night","Julia",FALSE,6.48148148148148,6.52941176470588,5.05555555555556,7.78947368421053,-2.18518518518519,-0.176470588235294,-3.05555555555556,-3.15789473684211
"Sub036_ToD","OA","Morning","Julia",FALSE,13.6744186046512,10.6923076923077,7.53333333333333,22.4,-4.97674418604651,4.07692307692308,-2.2,-15.6
"Sub037_ToD","OA","Morning","Julia",FALSE,11.2830188679245,13.375,9.52631578947368,11.2777777777778,3.24528301886792,1.25,0.789473684210526,7.61111111111111
"Sub038_ToD","YA","Morning","Julia",FALSE,6.73469387755102,8.875,5.35714285714286,5.94736842105263,2.3265306122449,2.375,3.64285714285714,1.31578947368421
"Sub039_ToD","OA","Night","Julia",FALSE,10.7115384615385,10.0588235294118,13.7777777777778,8.11764705882353,-2.05769230769231,-2.29411764705882,-4,0.235294117647059
"Sub040_ToD","OA","Night","Julia",FALSE,8.74468085106383,10.5714285714286,9.23529411764706,6.625,-1.72340425531915,-2.85714285714286,-4.05882352941176,1.75
"Sub041_ToD","YA","Morning","Julia",FALSE,6.12820512820513,6.71428571428571,5.92307692307692,5.66666666666667,-2.28205128205128,-2,-3.30769230769231,-1.5
"Sub042_ToD","YA","Morning","Julia",FALSE,6.54054054054054,9.33333333333333,4.25,6.07692307692308,-2.75675675675676,-2.83333333333333,-0.416666666666667,-4.84615384615385
"Sub043_ToD","OA","Night","Julia",FALSE,11.8809523809524,21.25,8.42857142857143,7.875,-2.30952380952381,-15.5833333333333,3.71428571428571,2.375
"Sub044_ToD","YA","Night","Julia",FALSE,4.83333333333333,4.47368421052632,4.66666666666667,5.41176470588235,0.648148148148148,-0.0526315789473684,2,0
"Sub045_ToD","OA","Night","Julia",FALSE,11.5192307692308,8.05555555555556,18.4375,8.83333333333333,-0.826923076923077,-3.16666666666667,3.0625,-1.94444444444444
"Sub046_ToD","OA","Morning","Julia",FALSE,7.10526315789474,7,8.5,5.8,0.263157894736842,4.29411764705882,-1.7,-1.2
"Sub047_ToD","YA","Morning","Julia",FALSE,5.575,4.70588235294118,5.22222222222222,6.85714285714286,-0.275,-2,-1.44444444444444,2.57142857142857
"Sub048_ToD","YA","Night","Julia",FALSE,6.41666666666667,8.4,5.625,5.41176470588235,-1.20833333333333,-1.6,0.5,-2.47058823529412
"Sub049_ToD","OA","Night","Julia",FALSE,7.28571428571429,8.72727272727273,5.375,8.26666666666667,-2.0952380952381,-6.36363636363636,2.625,-4
"Sub050_ToD","YA","Morning","Julia",FALSE,4.48148148148148,4.26315789473684,4.35294117647059,4.83333333333333,-0.851851851851852,-2.36842105263158,2.11764705882353,-2.05555555555556
"Sub051_ToD","YA","Night","Julia",FALSE,8.42857142857143,9.30769230769231,9.5,6.66666666666667,-1.19047619047619,-3.15384615384615,-2.64285714285714,1.86666666666667
"Sub052_ToD","YA","Morning","Julia",FALSE,10,9.38461538461539,9.64285714285714,10.8125,-1.58139534883721,0.615384615384615,-1.21428571428571,-3.6875
"Sub053_ToD","YA","Night","Julia",FALSE,11.18,12.2666666666667,11.4210526315789,9.875,4.42,4.66666666666667,2.57894736842105,6.375
"Sub054_ToD","OA","Morning","Julia",FALSE,6.93023255813953,10.5,7.23529411764706,4.375,0.13953488372093,0.5,-2.05882352941176,2.25
"Sub055_ToD","OA","Morning","Julia",FALSE,8.4406779661017,8.4,8.7,8.21052631578947,-0.372881355932203,-0.7,-3.9,3.68421052631579
"Sub056_ToD","OA","Morning","Julia",FALSE,9.91525423728813,9.73684210526316,10.2,9.8,-0.457627118644068,2.05263157894737,-1.3,-2
"Sub057_ToD","OA","Morning","Julia",FALSE,6.5,7.09090909090909,6.2,6.11111111111111,-1.43333333333333,-0.727272727272727,0,-3.88888888888889
"Sub058_ToD","OA","Morning","Julia",FALSE,5.80769230769231,7.52941176470588,5.33333333333333,4.58823529411765,0.961538461538462,1.88235294117647,0.222222222222222,0.823529411764706
"Sub059_ToD","YA","Night","Julia",FALSE,5.6140350877193,3.88888888888889,5.8,7.05263157894737,-2,-3.33333333333333,2.9,-5.89473684210526
"Sub060_ToD","OA","Morning","Julia",FALSE,6.03030303030303,5.8,4.5,8.375,0.0303030303030303,2.2,-2.1,-1.375
"Sub061_ToD","YA","Morning","Julia",FALSE,4.46551724137931,4.77777777777778,3.7,4.95,-1.98275862068966,-2.22222222222222,-2.7,-1.05
"Sub062_ToD","OA","Night","Julia",FALSE,9.35416666666667,8.33333333333333,10,9.625,1.72916666666667,1,0.823529411764706,3.375
"Sub063_ToD","YA","Night","Julia",FALSE,7.61904761904762,8.5,8.55555555555556,5.33333333333333,-2.57142857142857,-8.5,0.333333333333333,-1
"Sub064_ToD","OA","Night","Julia",FALSE,7.66666666666667,8.58333333333333,7.94117647058824,6.6875,-0.777777777777778,-3.41666666666667,4.64705882352941,-4.5625
"Sub065_ToD","YA","Morning","Julia",TRUE,73.4545454545455,80.2666666666667,72.1875,67.1538461538462,-1.77272727272727,-0.533333333333333,20.9375,-31.1538461538462
"Sub066_ToD","YA","Night","Julia",FALSE,9.2,10.5714285714286,7.18181818181818,9.5,0.971428571428571,-2.71428571428571,0.272727272727273,6.9
"Sub067_ToD","OA","Night","Julia",FALSE,7.75,6.46666666666667,6.88888888888889,9.57894736842105,0.403846153846154,0.466666666666667,-1.77777777777778,2.42105263157895
"Sub068_ToD","YA","Morning","Julia",FALSE,3.53191489361702,3.8125,2.94736842105263,4.08333333333333,1.70212765957447,2.3125,1.47368421052632,1.25
"Sub069_ToD","OA","Night","Julia",FALSE,9.19607843137255,9.625,7.11764705882353,10.7777777777778,-2.33333333333333,-2.875,-0.882352941176471,-3.22222222222222
"Sub070_ToD","YA","Morning","Julia",FALSE,4.37037037037037,4,4.26315789473684,4.88235294117647,-0.925925925925926,-0.555555555555556,-0.157894736842105,-2.17647058823529
"Sub071_ToD","YA","Night","Julia",FALSE,10.2363636363636,8.94736842105263,16.2222222222222,5.61111111111111,2.81818181818182,-0.842105263157895,10.3333333333333,-0.833333333333333
"Sub072_ToD","OA","Morning","Julia",FALSE,5.38461538461539,5.85714285714286,4.5,6,0.423076923076923,2.57142857142857,0.6,-1.44444444444444
"Sub073_ToD","OA","Night","Julia",FALSE,9.28571428571429,11.625,7.5,7.90909090909091,1.57142857142857,-4.375,0.5,6.09090909090909
"Sub074_ToD","OA","Morning","Julia",FALSE,5.91666666666667,6.42857142857143,5.22222222222222,6.25,1,4.71428571428571,-4.33333333333333,3.75
"Sub075_ToD","OA","Night","Julia",FALSE,5.7037037037037,7.23529411764706,5.5,4.52631578947368,0.518518518518518,-1.23529411764706,-0.0555555555555556,2.63157894736842
"Sub076_ToD","YA","Night","Julia",FALSE,4.84905660377358,3.9375,4.66666666666667,5.78947368421053,0.320754716981132,-1.1875,0.666666666666667,1.26315789473684
"Sub077_ToD","OA","Morning","Julia",FALSE,12.0363636363636,10.7894736842105,13.7058823529412,11.7894736842105,-1.27272727272727,1.42105263157895,-2.41176470588235,-2.94736842105263
"Sub078_ToD","YA","Night","Julia",FALSE,5.12,1.94117647058824,11.1176470588235,2.125,1.96,0.411764705882353,6.52941176470588,-1.25
"Sub079_ToD","OA","Morning","Julia",FALSE,7.28,9.05555555555556,6.94117647058824,5.53333333333333,-1.16,-1.94444444444444,-1.05882352941176,-0.333333333333333
"Sub080_ToD","OA","Night","Julia",FALSE,9.01960784313725,6.64285714285714,10.2941176470588,9.6,0.274509803921569,-0.642857142857143,-0.411764705882353,1.5
"Sub081_ToD","OA","Night","Julia",FALSE,6.83018867924528,6.4,6.47368421052632,7.52631578947368,-0.0754716981132075,-4.93333333333333,1.73684210526316,1.94736842105263
"Sub082_ToD","YA","Morning","Julia",FALSE,4.95,5.26666666666667,5.35714285714286,4,1.25,2.6,0.928571428571429,-0.181818181818182
"Sub083_ToD","OA","Morning","Julia",FALSE,12.4107142857143,20.25,9.64705882352941,6.63157894736842,1.01785714285714,-0.85,1.64705882352941,2.42105263157895
"Sub084_ToD","YA","Morning","Julia",FALSE,3.64285714285714,3.61111111111111,4.15789473684211,3.15789473684211,0.642857142857143,1.27777777777778,1.31578947368421,-0.631578947368421
"Sub085_ToD","YA","Morning","Julia",FALSE,3.75,3.78571428571429,4.30769230769231,3.15384615384615,0.3,0.642857142857143,-0.153846153846154,0.384615384615385
"Sub086_ToD","YA","Morning","Julia",FALSE,7.82,5.33333333333333,7.58823529411765,10.1111111111111,-0.1,0.933333333333333,-0.882352941176471,-0.222222222222222
"Sub087_ToD","YA","Morning","Julia",FALSE,7.30769230769231,10.25,3.33333333333333,8.66666666666667,-4,-7,-2.66666666666667,-2.66666666666667
"Sub088_ToD","YA","Morning","Julia",FALSE,4.74137931034483,5.47368421052632,4.7,4.05263157894737,0.362068965517241,-1.15789473684211,1.9,0.263157894736842
"Sub089_ToD","OA","Morning","Julia",FALSE,9.98333333333333,9.4,8.65,11.9,-3.41666666666667,-2,-2.85,-5.4
"Sub090_ToD","OA","Morning","Julia",FALSE,8.22448979591837,4.875,14.625,5.35294117647059,-2.75510204081633,-1,-10.125,2.52941176470588
"Sub091_ToD","YA","Morning","Julia",FALSE,7.23636363636364,6.1,7.68421052631579,8.125,-0.0727272727272727,1.8,0.210526315789474,-2.75
"Sub092_ToD","OA","Night","Julia",FALSE,8.75925925925926,8.27777777777778,8,9.89473684210526,-2.61111111111111,3.38888888888889,-3.29411764705882,-7.68421052631579
"Sub093_ToD","OA","Night","Julia",FALSE,5.98214285714286,5.63157894736842,4.94736842105263,7.44444444444444,-0.160714285714286,-2.26315789473684,1.26315789473684,0.555555555555556
"Sub094_ToD","YA","Night","Julia",FALSE,4.74576271186441,4.42105263157895,4.75,5.05,0.23728813559322,-0.631578947368421,1.05,0.25
"Sub095_ToD","YA","Night","Julia",FALSE,8.22222222222222,4.3,7.77777777777778,13.625,-2.22222222222222,2.3,-6,-3.625
"Sub096_ToD","YA","Night","Julia",FALSE,7.27083333333333,4.35294117647059,9.05555555555556,8.61538461538461,0.604166666666667,-1.17647058823529,4.61111111111111,-2.61538461538462
"Sub097_ToD","YA","Night","Julia",FALSE,6.1875,5.47058823529412,5.64705882352941,7.71428571428571,1.72916666666667,2.05882352941176,1.05882352941176,2.14285714285714
"Sub098_ToD","YA","Night","Julia",FALSE,6.73333333333333,8.8,5.09090909090909,6.44444444444444,-1.06666666666667,-3.4,-1.27272727272727,1.77777777777778
"Sub099_ToD","OA","Night","Julia",FALSE,4.46428571428571,6.15,4.11111111111111,2.94444444444444,-0.785714285714286,-1.25,-0.666666666666667,-0.388888888888889
"Sub100_ToD","OA","Night","Julia",FALSE,6.13513513513514,4.75,5.38461538461539,8.33333333333333,-1.91891891891892,-0.75,-0.307692307692308,-4.83333333333333
"Sub101_ToD","OA","Night","Julia",FALSE,7.3921568627451,7.61538461538461,7.38888888888889,7.25,-0.333333333333333,0.230769230769231,-1.61111111111111,0.45
"Sub102_ToD","YA","Night","Julia",FALSE,3.50909090909091,4.31578947368421,3.31578947368421,2.82352941176471,-0.127272727272727,-1.15789473684211,0.894736842105263,-0.117647058823529
"Sub103_ToD","YA","Night","Julia",FALSE,7.8,6.5,10,7,1.31111111111111,-1.61111111111111,4.4,1.83333333333333
"Sub104_ToD","OA","Night","Julia",FALSE,5.875,6.83333333333333,5.6,5,-0.25,-0.277777777777778,3.2,-3.66666666666667
"Sub105_ToD","YA","Morning","Julia",FALSE,4,4.92857142857143,3.27272727272727,3.44444444444444,0.117647058823529,-0.642857142857143,0.727272727272727,0.555555555555556
"Sub106_ToD","YA","Morning","Julia",FALSE,6.54385964912281,5.27777777777778,6.9,7.36842105263158,0.543859649122807,1.16666666666667,1,-0.526315789473684
