"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub001_ToD","YA","Night","Julia","Overall",63.3404255319149,-13,FALSE
"Sub001_ToD","YA","Night","Julia","1",59.6875,14.4375,FALSE
"Sub001_ToD","YA","Night","Julia","2",83.1875,-47.5625,FALSE
"Sub001_ToD","YA","Night","Julia","3",46.0666666666667,-5.4,FALSE
"Sub002_ToD","OA","Night","Julia","Overall",90.7678571428571,-17.2321428571429,FALSE
"Sub002_ToD","OA","Night","Julia","1",77.5,6.83333333333333,FALSE
"Sub002_ToD","OA","Night","Julia","2",109.75,-35.55,FALSE
"Sub002_ToD","OA","Night","Julia","3",82.9444444444444,-20.9444444444444,FALSE
"Sub003_ToD","YA","Night","Julia","Overall",51.7017543859649,-7.98245614035088,FALSE
"Sub003_ToD","YA","Night","Julia","1",51.5263157894737,-9.8421052631579,FALSE
"Sub003_ToD","YA","Night","Julia","2",51.2105263157895,19.3157894736842,FALSE
"Sub003_ToD","YA","Night","Julia","3",52.3684210526316,-33.4210526315789,FALSE
"Sub005_ToD","OA","Morning","Julia","Overall",23.4528301886792,-9.56603773584906,FALSE
"Sub005_ToD","OA","Morning","Julia","1",26.5294117647059,-13,FALSE
"Sub005_ToD","OA","Morning","Julia","2",18.8333333333333,-4.05555555555556,FALSE
"Sub005_ToD","OA","Morning","Julia","3",25.1666666666667,-11.8333333333333,FALSE
"Sub006_ToD","YA","Night","Julia","Overall",56.5454545454545,-7.59090909090909,FALSE
"Sub006_ToD","YA","Night","Julia","1",50.9333333333333,-3.86666666666667,FALSE
"Sub006_ToD","YA","Night","Julia","2",46.5333333333333,-22.4,FALSE
"Sub006_ToD","YA","Night","Julia","3",73.2857142857143,4.28571428571429,FALSE
"Sub007_ToD","OA","Night","Julia","Overall",17.65,4.68333333333333,FALSE
"Sub007_ToD","OA","Night","Julia","1",27.85,13.55,FALSE
"Sub007_ToD","OA","Night","Julia","2",10.55,2.05,FALSE
"Sub007_ToD","OA","Night","Julia","3",14.55,-1.55,FALSE
