"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Recall_Age","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_blockOverall","CorrectRecallNew_blockOverall","NewRecallOld_blockOverall"
"Sub001_ToD","YA","Night","Julia",FALSE,63.3404255319149,59.6875,83.1875,46.0666666666667,-13,14.4375,-47.5625,-5.4,FALSE,6.15,6.3,5.6,6.55,-0.55,-2.3,2.4,-1.75,47,13,18,6
"Sub003_ToD","YA","Night","Julia",FALSE,51.7017543859649,51.5263157894737,51.2105263157895,52.3684210526316,-7.98245614035088,-9.8421052631579,19.3157894736842,-33.4210526315789,FALSE,9.16666666666667,5.5,14.2,7.8,2.53333333333333,0.7,7.9,-1,57,3,24,0
"Sub005_ToD","OA","Morning","Julia",FALSE,23.4528301886792,26.5294117647059,18.8333333333333,25.1666666666667,-9.56603773584906,-13,-4.05555555555556,-11.8333333333333,FALSE,7.2,6.4,9.15,6.05,1.73333333333333,1.5,3.95,-0.25,53,7,24,0
"Sub006_ToD","YA","Night","Julia",FALSE,56.5454545454545,50.9333333333333,46.5333333333333,73.2857142857143,-7.59090909090909,-3.86666666666667,-22.4,4.28571428571429,FALSE,7.48333333333333,7.65,5.95,8.85,0.0833333333333333,2.35,0.55,-2.65,44,16,24,0
"Sub007_ToD","OA","Night","Julia",FALSE,17.65,27.85,10.55,14.55,4.68333333333333,13.55,2.05,-1.55,FALSE,12.3333333333333,16.35,11,9.65,-1.36666666666667,-3.35,-3.1,2.35,60,0,23,1
"Sub008_ToD","OA","Morning","Julia",FALSE,47.2280701754386,46.2777777777778,42.2,53.4210526315789,-8.03508771929824,2.5,-4.7,-21.5263157894737,FALSE,9.8,9.7,8.4,11.3,-1.3,3.1,-4.1,-2.9,57,3,19,5
"Sub009_ToD","YA","Night","Julia",FALSE,34.0357142857143,46.6,32.125,23,13.5357142857143,23.4,-7.875,20.8,FALSE,7.73333333333333,9.4,6.65,7.15,-4.53333333333333,-6.1,-5.15,-2.35,28,32,24,0
"Sub010_ToD","OA","Morning","Julia",FALSE,18.6981132075472,19.2857142857143,21.9473684210526,15.2,-1.75471698113208,9.57142857142857,-4.78947368421053,-6.8,FALSE,7.83333333333333,5.6,11.9,6,0.533333333333333,0,0.7,0.9,53,7,24,0
"Sub011_ToD","OA","Morning","Julia",FALSE,49.622641509434,40.2352941176471,51.6111111111111,56.5,0,2.11764705882353,-11.9444444444444,9.94444444444444,FALSE,6.75,4.35,9.1,6.8,0.283333333333333,-0.65,2.5,-1,53,7,20,4
"Sub012_ToD","OA","Night","Julia",FALSE,30.9454545454545,37.3333333333333,32.3684210526316,23.0555555555556,7.85454545454545,2.88888888888889,24.3684210526316,-4.61111111111111,FALSE,5.86666666666667,7.3,3.9,6.4,-1.06666666666667,-0.9,-0.1,-2.2,55,5,24,0
"Sub013_ToD","YA","Morning","Julia",FALSE,12.6379310344828,9.5,9.05,20.1111111111111,-2.81034482758621,1.9,3.95,-15.5555555555556,FALSE,3.08333333333333,3.3,3.3,2.65,0.0833333333333333,1.2,1,-1.95,58,2,24,0
