"participant","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any"
"Sub009_ToD","Overall",28,32,24,0,"YA","Night","Julia",-1.92081226854732,1.92081226854732,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub057_ToD","Overall",30,30,24,0,"OA","Morning","Julia",-2.36364549802286,2.36364549802286,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub063_ToD","Overall",21,39,24,0,"YA","Night","Julia",-2.63640899604535,2.63640899604535,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub073_ToD","Overall",21,39,22,2,"OA","Night","Julia",-3.43658477923701,3.43658477923701,-0.834898386978848,0.834898386978847,TRUE,TRUE,FALSE,FALSE,TRUE
"Sub074_ToD","Overall",24,36,23,1,"OA","Morning","Julia",-3.07893835216563,3.07893835216563,-0.0422733360495629,0.0422733360495619,TRUE,TRUE,FALSE,FALSE,TRUE
"Sub087_ToD","Overall",26,34,24,0,"YA","Morning","Julia",-2.1252684764039,2.1252684764039,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub095_ToD","Overall",27,33,24,0,"YA","Night","Julia",-2.02304037247561,2.02304037247561,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub098_ToD","Overall",30,30,24,0,"YA","Night","Julia",-1.71635606069075,1.71635606069075,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub109_ToD","Overall",26,34,24,0,"OA","Morning","Julia",-2.84050740078471,2.84050740078471,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub122_ToD","Overall",22,38,23,1,"YA","Night","Julia",-2.53418089211706,2.53418089211706,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE
"Sub152_ToD","Overall",15,45,22,2,"YA","Morning","Maheria",-3.24977761961508,3.24977761961508,-0.668405501508101,0.668405501508102,TRUE,TRUE,FALSE,FALSE,TRUE
