participant,AgeGroup,ToD_Condition,collected_by
Sub001_ToD,YA,Night,Julia
Sub002_ToD,OA,Night,Julia
Sub003_ToD,YA,Night,Julia
Sub005_ToD,OA,Morning,Julia
Sub006_ToD,YA,Night,Julia
Sub007_ToD,OA,Night,Julia
Sub008_ToD,OA,Morning,Julia
Sub009_ToD,YA,Night,Julia
Sub010_ToD,OA,Morning,Julia
Sub011_ToD,OA,Morning,Julia
Sub012_ToD,OA,Night,Julia
Sub013_ToD,YA,Morning,Julia
Sub014_ToD,YA,Morning,Julia
Sub015_ToD,OA,Night,Julia
Sub016_ToD,YA,Night,Julia
Sub017_ToD,OA,Morning,Julia
Sub018_ToD,OA,Night,Julia
Sub019_ToD,YA,Morning,Julia
Sub020_ToD,OA,Morning,Julia
Sub021_ToD,YA,Night,Julia
Sub022_ToD,YA,Night,Julia
Sub023_ToD,YA,Night,Julia
Sub024_ToD,YA,Night,Julia
Sub025_ToD,OA,Morning,Julia
Sub026_ToD,YA,Morning,Julia
Sub027_ToD,OA,Night,Julia
Sub028_ToD,OA,Night,Julia
Sub029_ToD,OA,Night,Julia
Sub030_ToD,OA,Night,Julia
Sub031_ToD,OA,Night,Julia
Sub032_ToD,YA,Morning,Julia
Sub033_ToD,YA,Morning,Julia
Sub034_ToD,YA,Morning,Julia
Sub035_ToD,YA,Night,Julia
Sub036_ToD,OA,Morning,Julia
Sub037_ToD,OA,Morning,Julia
Sub038_ToD,YA,Morning,Julia
Sub039_ToD,OA,Night,Julia
Sub040_ToD,OA,Night,Julia
Sub041_ToD,YA,Morning,Julia
Sub042_ToD,YA,Morning,Julia
Sub043_ToD,OA,Night,Julia
Sub044_ToD,YA,Night,Julia
Sub045_ToD,OA,Night,Julia
Sub046_ToD,OA,Morning,Julia
Sub047_ToD,YA,Morning,Julia
Sub048_ToD,YA,Night,Julia
Sub049_ToD,OA,Night,Julia
Sub050_ToD,YA,Morning,Julia
Sub051_ToD,YA,Night,Julia
Sub052_ToD,YA,Morning,Julia
Sub053_ToD,YA,Night,Julia
Sub054_ToD,OA,Morning,Julia
Sub055_ToD,OA,Morning,Julia
Sub056_ToD,OA,Morning,Julia
Sub057_ToD,OA,Morning,Julia
Sub058_ToD,OA,Morning,Julia
Sub059_ToD,YA,Night,Julia
Sub060_ToD,OA,Morning,Julia
Sub061_ToD,YA,Morning,Julia
Sub062_ToD,OA,Night,Julia
Sub063_ToD,YA,Night,Julia
Sub064_ToD,OA,Night,Julia
Sub065_ToD,YA,Morning,Julia
Sub066_ToD,YA,Night,Julia
Sub067_ToD,OA,Night,Julia
Sub068_ToD,YA,Morning,Julia
Sub070_ToD,YA,Morning,Julia
Sub069_ToD,OA,Night,Julia
Sub071_ToD,YA,Night,Julia
Sub072_ToD,OA,Morning,Julia
Sub073_ToD,OA,Night,Julia
Sub074_ToD,OA,Morning,Julia
Sub075_ToD,OA,Night,Julia
Sub076_ToD,YA,Night,Julia
Sub077_ToD,OA,Morning,Julia
Sub078_ToD,YA,Night,Julia
Sub079_ToD,OA,Morning,Julia
Sub080_ToD,OA,Night,Julia
Sub081_ToD,OA,Night,Julia
Sub082_ToD,YA,Morning,Julia
Sub083_ToD,OA,Morning,Julia
Sub084_ToD,YA,Morning,Julia
Sub085_ToD,YA,Morning,Julia
Sub086_ToD,YA,Morning,Julia
Sub087_ToD,YA,Morning,Julia
Sub088_ToD,YA,Morning,Julia
Sub089_ToD,OA,Morning,Julia
Sub090_ToD,OA,Morning,Julia
Sub091_ToD,YA,Morning,Julia
Sub092_ToD,OA,Night,Julia
Sub093_ToD,OA,Night,Julia
Sub094_ToD,YA,Night,Julia
Sub095_ToD,YA,Night,Julia
Sub096_ToD,YA,Night,Julia
Sub097_ToD,YA,Night,Julia
Sub098_ToD,YA,Night,Julia
Sub099_ToD,OA,Night,Julia
Sub100_ToD,OA,Night,Julia
Sub101_ToD,OA,Night,Julia
