"SubID","MEQScore","Hours_Sleep","Chronotype","MedianSplit_MEQ","MatchCondition","AgeGroup","ToD_Condition","attention1_pass","Attention1abutton","attention1a_pass","attention2_pass","Attention2abutton","attention2a_pass","attention3_pass","Attention3abutton","attention3a_pass","attention_checks_passed"
"Sub002_ToD_Online",60,7.5,"Morning Type","Morning","Yes","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub003_ToD_Online",63,6.5,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub004_ToD_Online",65,8,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub005_ToD_Online",57,7.5,"Intermediate Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub006_ToD_Online",70,8,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE,5
"Sub007_ToD_Online",54,7.5,"Intermediate Type","Night","No","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub008_ToD_Online",50,8,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub009_ToD_Online",45,6,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub010_ToD_Online",46,7,"Intermediate Type","Night","No","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub011_ToD_Online",70,7,"Morning Type","Morning","Yes","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub012_ToD_Online",40,6.5,"Evening Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub013_ToD_Online",52,7.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub014_ToD_Online",49,7,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub015_ToD_Online",29,7.5,"Evening Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub016_ToD_Online",62,5,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub017_ToD_Online",60,6,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub018_ToD_Online",57,7.5,"Intermediate Type","Morning","No","OA","Night",TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE,5
"Sub019_ToD_Online",53,6.5,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub020_ToD_Online",54,8,"Intermediate Type","Night","No","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub021_ToD_Online",47,8,"Intermediate Type","Night","No","YA","Morning",TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE,5
