"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"abacus1_tr.png",-53,307,"-0.163335321","0.123081993",4.8187,"Sub101_ToD",83,"-0.198442922","0.049477377","Bckg135.jpg",299,41,75,2,1,1,78,299,113,108,23,299,"abacus1_tr.png",1,284,284,5.8009,1,1.8587,1,1.2666,1,"OA","Night"
"bagel1_tr.png",243,243,"[]","[]",1.7294,"Sub101_ToD",83,"-0.156669862","-0.131461624","Bckg43.jpg",246,20,66,2,1,1,50,246,243,284,250,246,"bagel1_tr.png",1,230,230,3.2687,1,1.8112,1,0.815,1,"OA","Night"
"bandaid1_tr.png",243,243,"-0.182226854","-0.09284922",4.2032,"Sub101_ToD",83,"-0.158940322","-0.128707335","Bckg45.jpg",246,107,120,3,1,1,101,246,143,243,11,246,"bandaid1_tr.png",1,231,231,4.7521,1,1.7758,1,1.1277,1,"OA","Night"
"bell1_tr.png",347,347,"-0.046006535","0.199276197",3.7337,"Sub101_ToD",83,"0.108378017","0.173441084","Bckg36.jpg",349,78,61,2,1,1,47,349,287,282,294,349,"bell1_tr.png",1,392,32,5.6341,1,2.9336,2,1.8801,1,"OA","Night"
"binder1_tr.png",446,86,"0.204019784","0.014266453",5.877,"Sub101_ToD",83,"0.202527625","-0.028463401","Bckg82.jpg",91,21,106,3,1,1,96,91,236,320,312,91,"binder1_tr.png",1,458,98,6.2682,1,1.6071,1,1.1566,1,"OA","Night"
"bird1_tr.png",52,52,"0.161162368","0.125913841",4.4539,"Sub101_ToD",83,"0.134175867","0.154351679","Bckg2.jpg",39,72,90,3,1,1,90,39,118,137,33,39,"bird1_tr.png",1,41,41,5.1839,1,1.5717,1,1.8959,1,"OA","Night"
"bow1_tr.png",161,161,"0.066584541","-0.193375549",4.224,"Sub101_ToD",83,"-0.010703644","-0.204237695","Bckg54.jpg",172,67,32,1,1,1,25,172,311,5,258,172,"bow1_tr.png",1,183,183,6.2841,1,2.2749,1,1.0983,1,"OA","Night"
"bowls1_tr.png",58,58,"0.173441084","0.108378017",5.9544,"Sub101_ToD",83,"-0.175306125","0.105334547","Bckg103.jpg",76,79,73,2,1,1,75,76,238,207,139,76,"bowls1_tr.png",1,301,301,6.3339,1,3.4199,2,1.5287,1,"OA","Night"
"boxinggloves1_tr.png",273,273,"-0.204237695","0.010703644",3.768,"Sub101_ToD",83,"-0.204486831","0.003569331","Bckg131.jpg",276,95,49,2,1,1,44,276,159,125,149,276,"boxinggloves1_tr.png",1,271,271,5.2898,1,2.0701,1,1.1958,1,"OA","Night"
"cakemixer1_tr.png",252,252,"-0.194508158","-0.063199531",5.287,"Sub101_ToD",83,"-0.202527625","-0.028463401","Bckg12.jpg",255,117,10,1,1,1,13,255,108,314,330,255,"cakemixer1_tr.png",1,262,262,5.6366,1,2.4952,1,1.7728,1,"OA","Night"
"cow1_tr.png",0,0,"1.25231E-17","0.20451798",6.8582,"Sub101_ToD",83,"0.017824916","0.203739727","Bckg113.jpg",352,24,14,1,1,1,4,352,172,11,137,352,"cow1_tr.png",1,5,5,4.0385,1,3.3948,1,1.1221,1,"OA","Night"
"crayon1_tr.png",260,260,"-0.201410892","-0.035514175",2.905,"Sub101_ToD",83,"-0.204393393","-0.007137575","Bckg87.jpg",267,33,112,3,1,1,89,267,220,22,283,267,"crayon1_tr.png",1,-92,268,4.6811,1,4.193,1,1.4463,1,"OA","Night"
"dog1_tr.png",162,162,"0.063199531","-0.194508158",3.4901,"Sub101_ToD",83,"0.028463401","-0.202527625","Bckg23.jpg",167,111,117,3,1,1,109,167,16,26,214,167,"dog1_tr.png",1,172,172,4.0506,1,1.4881,1,0.9226,1,"OA","Night"
"fantacan1_tr.png",144,144,"0.120212652","-0.165458521",5.0889,"Sub101_ToD",83,"0.142070127","-0.147117923","Bckg86.jpg",126,84,15,1,1,1,21,126,32,278,53,126,"fantacan1_tr.png",1,496,136,5.4077,1,2.1295,2,1.6514,1,"OA","Night"
"fireextinguisher1_tr.png",294,294,"-0.186836472","0.083184957",2.9556,"Sub101_ToD",83,"-0.200048771","0.042521679","Bckg88.jpg",294,85,54,2,1,1,68,294,212,94,215,294,"fireextinguisher1_tr.png",1,282,282,5.7253,1,2.1737,1,0.8447,1,"OA","Night"
