"participant","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by"
"Sub001_ToD","1",16,4,8,0,"YA","Night","Julia"
"Sub001_ToD","2",16,4,6,2,"YA","Night","Julia"
"Sub001_ToD","3",15,5,4,4,"YA","Night","Julia"
"Sub001_ToD","Overall",47,13,18,6,"YA","Night","Julia"
"Sub002_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub002_ToD","2",20,0,8,0,"OA","Night","Julia"
"Sub002_ToD","3",18,2,8,0,"OA","Night","Julia"
"Sub002_ToD","Overall",56,4,24,0,"OA","Night","Julia"
"Sub003_ToD","1",19,1,8,0,"YA","Night","Julia"
"Sub003_ToD","2",19,1,9,0,"YA","Night","Julia"
"Sub003_ToD","3",19,1,7,0,"YA","Night","Julia"
"Sub003_ToD","Overall",57,3,24,0,"YA","Night","Julia"
"Sub005_ToD","1",17,3,8,0,"OA","Morning","Julia"
"Sub005_ToD","2",18,2,9,0,"OA","Morning","Julia"
"Sub005_ToD","3",18,2,7,0,"OA","Morning","Julia"
"Sub005_ToD","Overall",53,7,24,0,"OA","Morning","Julia"
"Sub006_ToD","1",15,5,8,0,"YA","Night","Julia"
"Sub006_ToD","2",15,5,8,0,"YA","Night","Julia"
"Sub006_ToD","3",14,6,8,0,"YA","Night","Julia"
"Sub006_ToD","Overall",44,16,24,0,"YA","Night","Julia"
"Sub007_ToD","1",20,0,8,0,"OA","Night","Julia"
"Sub007_ToD","2",20,0,8,1,"OA","Night","Julia"
"Sub007_ToD","3",20,0,7,0,"OA","Night","Julia"
"Sub007_ToD","Overall",60,0,23,1,"OA","Night","Julia"
"Sub008_ToD","1",18,2,8,0,"OA","Morning","Julia"
"Sub008_ToD","2",20,0,6,2,"OA","Morning","Julia"
"Sub008_ToD","3",19,1,5,3,"OA","Morning","Julia"
"Sub008_ToD","Overall",57,3,19,5,"OA","Morning","Julia"
"Sub009_ToD","1",10,10,8,0,"YA","Night","Julia"
"Sub009_ToD","2",8,12,8,0,"YA","Night","Julia"
"Sub009_ToD","3",10,10,8,0,"YA","Night","Julia"
"Sub009_ToD","Overall",28,32,24,0,"YA","Night","Julia"
"Sub010_ToD","1",14,6,8,0,"OA","Morning","Julia"
"Sub010_ToD","2",19,1,9,0,"OA","Morning","Julia"
"Sub010_ToD","3",20,0,7,0,"OA","Morning","Julia"
"Sub010_ToD","Overall",53,7,24,0,"OA","Morning","Julia"
"Sub011_ToD","1",17,3,6,2,"OA","Morning","Julia"
"Sub011_ToD","2",18,2,9,0,"OA","Morning","Julia"
"Sub011_ToD","3",18,2,5,2,"OA","Morning","Julia"
"Sub011_ToD","Overall",53,7,20,4,"OA","Morning","Julia"
"Sub012_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub012_ToD","2",19,1,8,0,"OA","Night","Julia"
"Sub012_ToD","3",18,2,8,0,"OA","Night","Julia"
"Sub012_ToD","Overall",55,5,24,0,"OA","Night","Julia"
"Sub013_ToD","1",20,0,8,0,"YA","Morning","Julia"
"Sub013_ToD","2",20,0,8,0,"YA","Morning","Julia"
"Sub013_ToD","3",18,2,8,0,"YA","Morning","Julia"
"Sub013_ToD","Overall",58,2,24,0,"YA","Morning","Julia"
"Sub014_ToD","1",16,4,8,0,"YA","Morning","Julia"
"Sub014_ToD","2",17,3,8,0,"YA","Morning","Julia"
"Sub014_ToD","3",17,3,8,0,"YA","Morning","Julia"
"Sub014_ToD","Overall",50,10,24,0,"YA","Morning","Julia"
"Sub015_ToD","1",14,6,8,0,"OA","Night","Julia"
"Sub015_ToD","2",14,6,9,0,"OA","Night","Julia"
"Sub015_ToD","3",17,3,7,0,"OA","Night","Julia"
"Sub015_ToD","Overall",45,15,24,0,"OA","Night","Julia"
"Sub016_ToD","1",18,2,8,0,"YA","Night","Julia"
