"obj1","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","testObj1Foil","testObj1FCOrder","testObj1FCleftItem","testObj1FCrightItem","NewObject","OldImages","testNewLocStartVal","Imm_Delay"
"coke1_tr.png","Bckg78.jpg",322,74,27,1,1,1,1,322,31,323,307,322,"coke1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"eggs1_tr.png","Bckg132.jpg",84,28,4,1,1,1,2,84,124,265,170,84,"eggs1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"washingmachine1_tr.png","Bckg85.jpg",341,34,23,1,1,1,3,341,282,53,158,341,"washingmachine1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"loaf1_tr.png","Bckg90.jpg",101,25,34,1,1,1,4,101,357,138,325,101,"loaf1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"penguin1_tr.png","Bckg114.jpg",71,7,10,1,1,1,5,71,333,350,66,71,"penguin1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"pin1_tr.png","Bckg59.jpg",300,82,22,1,1,1,6,300,260,88,40,300,"pin1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"umbrella1_tr.png","Bckg50.jpg",134,101,14,1,1,1,7,134,64,344,85,134,"umbrella1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"waterfilter1_tr.png","Bckg123.jpg",115,56,8,1,1,1,8,115,280,232,286,115,"waterfilter1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"cabinet1_tr.png","Bckg13.jpg",355,110,24,1,1,1,9,355,291,250,164,355,"cabinet1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"jackolantern1_tr.png","Bckg21.jpg",51,93,20,1,1,1,10,51,161,66,118,51,"jackolantern1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"paintpalette1_tr.png","Bckg56.jpg",259,16,37,1,1,1,11,259,311,154,192,259,"paintpalette1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"handbag1_tr.png","Bckg97.jpg",66,94,28,1,1,1,12,66,275,244,269,66,"handbag1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"partyhats1_tr.png","Bckg110.jpg",52,18,31,1,1,1,13,52,175,231,196,52,"partyhats1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
