"obj1","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","testObj1Foil","testObj1FCOrder","testObj1FCleftItem","testObj1FCrightItem","NewObject","OldImages","testNewLocStartVal","Imm_Delay"
"hat1_tr.png","Bckg133.jpg",235,68,30,1,1,1,1,235,251,330,13,235,"hat1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"wisk1_tr.png","Bckg95.jpg",315,23,6,1,1,1,2,315,150,163,135,315,"wisk1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"paintpalette1_tr.png","Bckg56.jpg",259,16,25,1,1,1,3,259,311,154,192,259,"paintpalette1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"abacus1_tr.png","Bckg135.jpg",299,41,24,1,1,1,4,299,113,108,23,299,"abacus1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"lemon1_tr.png","Bckg99.jpg",20,66,39,1,1,1,5,20,265,285,180,20,"lemon1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"bottleofwine1_tr.png","Bckg29.jpg",126,71,10,1,1,1,6,126,55,131,270,126,"bottleofwine1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"sippycup1_tr.png","Bckg105.jpg",107,106,12,1,1,1,7,107,24,15,204,107,"sippycup1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"potatochips1_tr.png","Bckg124.jpg",13,81,19,1,1,1,8,13,164,112,355,13,"potatochips1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"lei1_tr.png","Bckg119.jpg",49,5,27,1,1,1,9,49,174,32,226,49,"lei1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"hotdog1_tr.png","Bckg126.jpg",152,42,40,1,1,1,10,152,327,275,320,152,"hotdog1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"toothpaste1_tr.png","Bckg38.jpg",259,1,3,1,1,1,11,259,232,85,230,259,"toothpaste1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"bandaid1_tr.png","Bckg45.jpg",246,107,26,1,1,1,12,246,143,243,11,246,"bandaid1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"stoplights1_tr.png","Bckg53.jpg",219,60,4,1,1,1,13,219,214,124,240,219,"stoplights1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"nailpolish1_tr.png","Bckg84.jpg",301,32,16,1,1,1,14,301,148,320,226,301,"nailpolish1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"pan1_tr.png","Bckg58.jpg",133,116,28,1,1,1,15,133,89,30,229,133,"pan1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"granola1_tr.png","Bckg49.jpg",191,103,37,1,1,1,16,191,262,206,48,191,"granola1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"wreath1_tr.png","Bckg71.jpg",229,98,22,1,1,1,17,229,357,97,101,229,"wreath1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"asparagus1_tr.png","Bckg134.jpg",263,47,38,1,1,1,18,263,290,137,190,263,"asparagus1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"bagel1_tr.png","Bckg43.jpg",246,20,31,1,1,1,19,246,243,284,250,246,"bagel1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"ricecooker1_tr.png","Bckg102.jpg",14,19,8,1,1,1,20,14,178,267,92,14,"ricecooker1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"kite1_tr.png","Bckg128.jpg",181,115,5,1,1,1,21,181,59,221,177,181,"kite1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"apple1_tr.png","Bckg81.jpg",114,62,14,1,1,1,22,114,347,32,264,114,"apple1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"pizza1_tr.png","Bckg83.jpg",31,80,20,1,1,1,23,31,153,237,175,31,"pizza1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"pokerchips1_tr.png","Bckg127.jpg",11,88,21,1,1,1,24,11,51,229,63,11,"pokerchips1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"trophy1_tr.png","Bckg68.jpg",75,99,33,1,1,1,25,75,66,178,228,75,"trophy1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"bird1_tr.png","Bckg2.jpg",39,72,11,1,1,1,26,39,118,137,33,39,"bird1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"valentinesdaycard1_tr.png","Bckg111.jpg",338,26,15,1,1,1,27,338,234,203,108,338,"valentinesdaycard1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"crayon1_tr.png","Bckg87.jpg",267,33,36,1,1,1,28,267,220,22,283,267,"crayon1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"fantacan1_tr.png","Bckg86.jpg",126,84,13,1,1,1,29,126,32,278,53,126,"fantacan1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"rollingpin1_tr.png","Bckg69.jpg",228,89,32,1,1,1,30,228,12,120,126,228,"rollingpin1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"loaf1_tr.png","Bckg90.jpg",101,25,1,1,1,1,31,101,357,138,325,101,"loaf1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"pickle1_tr.png","Bckg66.jpg",150,83,2,1,1,1,32,150,65,78,256,150,"pickle1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"handsoap1_tr.png","Bckg73.jpg",74,57,18,1,1,1,33,74,352,41,5,74,"handsoap1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"grater1_tr.png","Bckg118.jpg",227,108,29,1,1,1,34,227,183,311,225,227,"grater1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"skippingrope1_tr.png","Bckg7.jpg",60,45,17,1,1,1,35,60,87,213,277,60,"skippingrope1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"dress1_tr.png","Bckg96.jpg",83,51,35,1,1,1,36,83,239,71,9,83,"dress1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"christmasstocking1_tr.png","Bckg136.jpg",165,50,34,1,1,1,37,165,322,246,121,165,"christmasstocking1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"silvertray1_tr.png","Bckg64.jpg",288,6,7,1,1,1,38,288,241,343,248,288,"silvertray1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"eggs1_tr.png","Bckg132.jpg",84,28,23,1,1,1,39,84,124,265,170,84,"eggs1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"telephonebooth1_tr.png","Bckg107.jpg",214,63,9,1,1,1,40,214,64,281,300,214,"telephonebooth1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_spraybottle1_tr.png",0,141,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_flashlight1_tr.png",0,283,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_eyemask1_tr.png",0,352,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_bongo1_tr.png",0,2,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_ladder1_tr.png",0,126,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_bunny1_tr.png",0,106,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_powdermakeup1_tr.png",0,163,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_hairbrush1_tr.png",0,311,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_creditcard1_tr.png",0,154,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_paracetamol1_tr.png",0,299,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_couch1_tr.png",0,353,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_chocolatebar1_tr.png",0,11,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_cardboardbox1_tr.png",0,296,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_icecubetray1_tr.png",0,308,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_giraffe1_tr.png",0,30,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_car1_tr.png",0,300,1
"vegeplatter1_tr.png","Bckg70.jpg",246,30,79,2,1,1,41,246,122,321,75,246,"vegeplatter1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"coke1_tr.png","Bckg78.jpg",322,74,41,2,1,1,42,322,31,323,307,322,"coke1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"spoon1_tr.png","Bckg67.jpg",161,10,50,2,1,1,43,161,301,195,183,161,"spoon1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"suit1_tr.png","Bckg52.jpg",262,36,78,2,1,1,44,262,153,255,138,262,"suit1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"fireextinguisher1_tr.png","Bckg88.jpg",294,85,67,2,1,1,45,294,212,94,215,294,"fireextinguisher1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"goggle1_tr.png","Bckg120.jpg",25,96,65,2,1,1,46,25,157,292,131,25,"goggle1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"partyhats1_tr.png","Bckg110.jpg",52,18,43,2,1,1,47,52,175,231,196,52,"partyhats1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"scarf1_tr.png","Bckg51.jpg",276,59,73,2,1,1,48,276,231,56,236,276,"scarf1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"airfreshener1_tr.png","Bckg42.jpg",2,91,64,2,1,1,49,2,156,345,88,2,"airfreshener1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"toad1_tr.png","Bckg65.jpg",25,27,44,2,1,1,50,25,278,24,220,25,"toad1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"highheel1_tr.png","Bckg57.jpg",128,77,75,2,1,1,51,128,108,34,194,128,"highheel1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"washingmachine1_tr.png","Bckg85.jpg",341,34,63,2,1,1,52,341,282,53,158,341,"washingmachine1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"clock1_tr.png","Bckg137.jpg",133,76,48,2,1,1,53,133,128,1,280,133,"clock1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"cookie1_tr.png","Bckg1.jpg",196,109,59,2,1,1,54,196,142,307,242,196,"cookie1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"coffeemug1_tr.png","Bckg20.jpg",325,70,66,2,1,1,55,325,253,113,22,325,"coffeemug1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"bow1_tr.png","Bckg54.jpg",172,67,56,2,1,1,56,172,311,5,258,172,"bow1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"encyclopedia1_tr.png","Bckg72.jpg",286,11,61,2,1,1,57,286,151,110,236,286,"encyclopedia1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"plant1_tr.png","Bckg116.jpg",229,75,57,2,1,1,58,229,191,233,122,229,"plant1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"tissuebox1_tr.png","Bckg98.jpg",1,12,53,2,1,1,59,1,95,272,311,1,"tissuebox1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"binder1_tr.png","Bckg82.jpg",91,21,54,2,1,1,60,91,236,320,312,91,"binder1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"pin1_tr.png","Bckg59.jpg",300,82,71,2,1,1,61,300,260,88,40,300,"pin1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"banana1_tr.png","Bckg93.jpg",44,114,45,2,1,1,62,44,233,78,338,44,"banana1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"present1_tr.png","Bckg121.jpg",184,46,60,2,1,1,63,184,45,118,188,184,"present1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"mouthwash1_tr.png","Bckg109.jpg",352,100,77,2,1,1,64,352,115,250,226,352,"mouthwash1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"towels1_tr.png","Bckg115.jpg",193,37,69,2,1,1,65,193,106,21,53,193,"towels1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"trumpet1_tr.png","Bckg130.jpg",355,58,72,2,1,1,66,355,313,133,32,355,"trumpet1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"cabinet1_tr.png","Bckg13.jpg",355,110,46,2,1,1,67,355,291,250,164,355,"cabinet1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"bathingsuit1_tr.png","Bckg19.jpg",288,65,47,2,1,1,68,288,311,51,176,288,"bathingsuit1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"scrabble1_tr.png","Bckg91.jpg",15,39,51,2,1,1,69,15,152,156,110,15,"scrabble1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"jackolantern1_tr.png","Bckg21.jpg",51,93,70,2,1,1,70,51,161,66,118,51,"jackolantern1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"boxinggloves1_tr.png","Bckg131.jpg",276,95,76,2,1,1,71,276,159,125,149,276,"boxinggloves1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"umbrella1_tr.png","Bckg50.jpg",134,101,49,2,1,1,72,134,64,344,85,134,"umbrella1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"bell1_tr.png","Bckg36.jpg",349,78,42,2,1,1,73,349,287,282,294,349,"bell1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"hammer1_tr.png","Bckg138.jpg",237,118,68,2,1,1,74,237,139,321,245,237,"hammer1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"dog1_tr.png","Bckg23.jpg",167,111,80,2,1,1,75,167,16,26,214,167,"dog1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"soccerball1_tr.png","Bckg101.jpg",43,53,58,2,1,1,76,43,86,145,39,43,"soccerball1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"qtips1_tr.png","Bckg129.jpg",171,92,55,2,1,1,77,171,235,155,124,171,"qtips1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"basket1_tr.png","Bckg24.jpg",110,8,52,2,1,1,78,110,14,332,96,110,"basket1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"steeringwheel1_tr.png","Bckg62.jpg",229,90,74,2,1,1,79,229,132,225,181,229,"steeringwheel1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"bowls1_tr.png","Bckg103.jpg",76,79,62,2,1,1,80,76,238,207,139,76,"bowls1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_flowers1_tr.png",0,10,2
